hex_ident,altitude(meter),latitude,longitude,date,time,angle,distance(kilometer),squawk,ground_speed(kilometerph),track,callsign
A29551,10357,48.86807,-123.92043,2017/06/28,00:00:03.904,-118.26,74.28,3514,798,329,ASA103  
A29551,10357,48.86993,-123.92217,2017/06/28,00:00:04.996,-118.1,74.25,3514,798,329,ASA103  
C010EC,4142,49.07671,-122.65165,2017/06/28,00:00:05.979,114.49,41.07,2643,724,78,ACA128  
A29551,10357,48.87692,-123.92860,2017/06/28,00:00:09.095,-117.5,74.14,3514,798,329,ASA103  
C03BFB,2779,49.18176,-123.41076,2017/06/28,00:00:10.079,-109.85,23.86,,311,282,
C010EC,4180,49.07844,-122.63865,2017/06/28,00:00:10.895,113.73,41.75,2643,727,78,ACA128  
A29551,10357,48.88106,-123.93254,2017/06/28,00:00:11.499,-117.15,74.09,3514,798,329,ASA103  
C010EC,4211,49.07977,-122.62855,2017/06/28,00:00:14.610,113.16,42.29,2643,727,78,ACA128  
A29551,10357,48.88687,-123.93789,2017/06/28,00:00:14.940,-116.66,74.01,3514,798,329,ASA103  
C010EC,4226,49.08044,-122.62347,2017/06/28,00:00:16.467,112.87,42.56,2643,727,78,ACA128  
C010EC,4241,49.08119,-122.61790,2017/06/28,00:00:18.435,112.57,42.86,2643,731,78,ACA128  
C010EC,4317,49.08403,-122.59607,2017/06/28,00:00:26.516,111.44,44.06,2643,733,78,ACA128  
A29551,10357,48.91196,-123.96135,2017/06/28,00:00:29.737,-114.56,73.79,3514,798,329,ASA103  
A29551,10357,48.91452,-123.96374,2017/06/28,00:00:31.212,-114.35,73.77,3514,798,329,ASA103  
A29551,10357,48.91960,-123.96853,2017/06/28,00:00:34.218,-113.93,73.75,3514,798,329,ASA103  
C03BFB,3099,49.15213,-123.41564,2017/06/28,00:00:34.653,-114.67,25.87,,513,187,WJA564  
C010EC,4401,49.08705,-122.57295,2017/06/28,00:00:34.874,110.32,45.36,2643,735,78,ACA128  
C03BFB,3107,49.15162,-123.41571,2017/06/28,00:00:35.090,-114.75,25.91,,513,187,WJA564  
A29551,10357,48.92119,-123.97002,2017/06/28,00:00:35.145,-113.8,73.74,3514,798,329,ASA103  
A29551,10357,48.92459,-123.97320,2017/06/28,00:00:37.168,-113.53,73.73,3514,798,329,ASA103  
C010EC,4447,49.08873,-122.56037,2017/06/28,00:00:39.461,109.74,46.08,2643,735,78,ACA128  
A29551,10357,48.93146,-123.97966,2017/06/28,00:00:41.262,-112.97,73.71,3514,798,329,ASA103  
C010EC,4462,49.08939,-122.55503,2017/06/28,00:00:41.433,109.51,46.38,2643,735,78,ACA128  
C010EC,4508,49.09122,-122.54129,2017/06/28,00:00:46.396,108.91,47.18,2643,737,78,ACA128  
C03BFB,3175,49.13585,-123.41844,2017/06/28,00:00:46.887,-117.11,27.09,,513,187,WJA564  
C03BFB,3190,49.12907,-123.41907,2017/06/28,00:00:51.693,-118.12,27.59,,513,187,WJA564  
A29551,10357,48.97000,-124.01571,2017/06/28,00:01:03.927,-109.9,73.82,3514,798,329,ASA103  
A29551,10357,48.97519,-124.02061,2017/06/28,00:01:06.987,-109.49,73.86,3514,798,329,ASA103  
C010EC,4713,49.09934,-122.47840,2017/06/28,00:01:09.121,106.48,50.93,2643,742,78,ACA128  
A29551,10357,48.97975,-124.02488,2017/06/28,00:01:09.662,-109.14,73.9,3514,798,329,ASA103  
A29551,10357,48.98347,-124.02834,2017/06/28,00:01:11.847,-108.85,73.94,3514,798,329,ASA103  
C010EC,4812,49.10200,-122.45744,2017/06/28,00:01:16.653,105.76,52.21,2643,742,78,ACA128  
A29551,10357,48.99320,-124.03738,2017/06/28,00:01:17.582,-108.11,74.04,3514,798,329,ASA103  
C010EC,4889,49.10486,-122.43509,2017/06/28,00:01:24.846,105.04,53.59,2643,742,78,ACA128  
A29551,10357,49.00658,-124.04973,2017/06/28,00:01:25.446,-107.11,74.21,3514,798,329,ASA103  
C010EC,4957,49.10912,-122.40222,2017/06/28,00:01:36.643,104.05,55.65,2643,738,78,ACA128  
C010EC,4972,49.11104,-122.38727,2017/06/28,00:01:42.050,103.63,56.6,2643,738,78,ACA128  
C010EC,4988,49.11223,-122.37819,2017/06/28,00:01:45.217,103.37,57.18,2643,738,78,ACA128  
C010EC,5003,49.11301,-122.37192,2017/06/28,00:01:47.352,103.21,57.58,2643,738,78,ACA128  
C010EC,5033,49.11511,-122.35551,2017/06/28,00:01:53.246,102.78,58.63,2643,738,78,ACA128  
C03BFB,4188,49.06169,-123.28442,2017/06/28,00:02:07.397,-144.49,27.3,7037,650,145,WJA564  
C010EC,5170,49.12197,-122.30205,2017/06/28,00:02:11.924,101.48,62.1,2643,738,78,ACA128  
C010EC,5269,49.12676,-122.26417,2017/06/28,00:02:25.041,100.67,64.59,2643,772,79,ACA128  
C010EC,5277,49.12711,-122.26142,2017/06/28,00:02:26.016,100.61,64.77,2643,772,79,ACA128  
C010EC,5285,49.12751,-122.25810,2017/06/28,00:02:27.111,100.54,64.99,2643,772,79,ACA128  
C010EC,5384,49.13342,-122.21128,2017/06/28,00:02:43.164,99.63,68.11,2643,775,79,ACA128  
C010EC,5414,49.13521,-122.19712,2017/06/28,00:02:47.971,99.37,69.06,2643,783,79,ACA128  
C03BFB,5254,49.03859,-123.08923,2017/06/28,00:03:21.014,172.92,27.23,7037,722,100,WJA564  
C03BFB,5384,49.03561,-123.06292,2017/06/28,00:03:30.630,167.3,27.79,7037,729,100,WJA564  
C03BFB,5787,49.03766,-122.97617,2017/06/28,00:04:01.712,150.39,29.2,7037,738,86,WJA564  
C03BFB,6122,49.04036,-122.90546,2017/06/28,00:04:26.553,139.45,31.16,7037,755,86,WJA564  
C0196C,3975,48.84875,-122.88548,2017/06/28,00:04:30.868,152.42,51.2,,,,ROU1682 
C0196C,4081,48.86147,-122.87391,2017/06/28,00:04:40.974,150.55,50.16,,557,30,ROU1682 
C0196C,4127,48.86756,-122.86835,2017/06/28,00:04:45.894,149.64,49.68,,557,30,ROU1682 
C0196C,4196,48.87405,-122.86229,2017/06/28,00:04:51.951,148.64,49.18,2612,557,30,ROU1682 
C0196C,4257,48.88315,-122.85230,2017/06/28,00:04:59.706,147.08,48.53,2612,564,35,ROU1682 
C02966,1698,49.18080,-123.39506,2017/06/28,00:05:01.127,-111.08,22.91,7032,496,223,
C0196C,4264,48.88544,-122.84876,2017/06/28,00:05:01.781,146.59,48.4,2612,564,35,ROU1682 
C02966,1797,49.17114,-123.39640,2017/06/28,00:05:08.662,-112.78,23.55,7032,496,223,
C0196C,4333,48.89447,-122.83062,2017/06/28,00:05:11.666,144.24,48.05,2612,588,56,ROU1682 
C03BFB,6716,49.04562,-122.76848,2017/06/28,00:05:13.632,124.93,36.75,7037,763,86,WJA564  
C02966,1926,49.15786,-123.39800,2017/06/28,00:05:18.931,-115.04,24.45,7032,496,223,
C0196C,4432,48.90094,-122.80330,2017/06/28,00:05:24.830,141.3,48.33,2612,588,56,ROU1682 
C03BFB,6876,49.04713,-122.72827,2017/06/28,00:05:27.235,121.92,38.73,7037,777,86,WJA564  
C03BFB,6884,49.04725,-122.72531,2017/06/28,00:05:28.270,121.71,38.88,7037,777,86,WJA564  
C03BFB,6899,49.04736,-122.72236,2017/06/28,00:05:29.307,121.51,39.03,7037,777,86,WJA564  
C02966,2071,49.13961,-123.40017,2017/06/28,00:05:32.748,-117.98,25.79,7032,533,185,SWG804  
C0196C,4470,48.90189,-122.78222,2017/06/28,00:05:33.515,139.42,48.99,2612,588,56,ROU1682 
C02966,2101,49.13635,-123.40053,2017/06/28,00:05:35.154,-118.49,26.03,7032,533,185,SWG804  
C02966,2109,49.13585,-123.40062,2017/06/28,00:05:35.590,-118.57,26.07,7032,533,185,SWG804  
C03BFB,7051,49.04883,-122.68306,2017/06/28,00:05:42.526,119,41.09,7037,777,86,WJA564  
